MUNIC_RES,ANO,POPULACAO
AC,1992,420436
AC,1993,429770
AC,1994,438619
AC,1995,447249
AC,1997,490522
AC,1998,504038
AC,1999,517580
AC,2000,531169
AC,2001,562895
AC,2002,575157
AC,2003,588458
AC,2004,617508
AC,2005,655954
AC,2006,672459
AC,2007,641951
AC,2008,666113
AC,2009,676908
AC,2010,717667
AC,2011,730992
AC,2012,743107
AC,2013,760364
AC,2014,773684
AC,2015,786782
AC,2016,799649
AC,2017,812279
AC,2018,851143
AC,2019,863524
AC,2020,875774
AC,2021,887897
AL,1992,2423589
AL,1993,2476482
AL,1994,2515454
AL,1995,2553459
AL,1997,2524176
AL,1998,2546588
AL,1999,2569051
AL,2000,2591591
AL,2001,2699316
AL,2002,2727286
AL,2003,2754442
AL,2004,2811447
AL,2005,2842995
AL,2006,2874306
AL,2007,2861392
AL,2008,2946355
AL,2009,2972256
AL,2010,2938137
AL,2011,2958425
AL,2012,2978641
AL,2013,3105476
AL,2014,3123972
AL,2015,3141374
AL,2016,3157710
AL,2017,3172987
AL,2018,3123320
AL,2019,3136403
AL,2020,3149218
AL,2021,3161687
AM,1992,2165852
AM,1993,2217600
AM,1994,2269555
AM,1995,2320221
AM,1997,2460602
AM,1998,2520684
AM,1999,2580860
AM,2000,2641251
AM,2001,2900240
AM,2002,2961801
AM,2003,3031068
AM,2004,3138726
AM,2005,3232330
AM,2006,3311026
AM,2007,3221940
AM,2008,3341096
AM,2009,3393369
AM,2010,3480937
AM,2011,3538387
AM,2012,3590985
AM,2013,3807921
AM,2014,3873743
AM,2015,3938336
AM,2016,4001667
AM,2017,4063614
AM,2018,4080611
AM,2019,4144597
AM,2020,4207714
AM,2021,4269995
AP,1992,245355
AP,1993,252725
AP,1994,259440
AP,1995,265988
AP,1997,320916
AP,1998,335568
AP,1999,350243
AP,2000,364971
AP,2001,405098
AP,2002,419640
AP,2003,435686
AP,2004,446045
AP,2005,484946
AP,2006,502364
AP,2007,484448
AP,2008,506178
AP,2009,517870
AP,2010,555041
AP,2011,568723
AP,2012,581182
AP,2013,612375
AP,2014,626302
AP,2015,640097
AP,2016,653761
AP,2017,667260
AP,2018,694279
AP,2019,708436
AP,2020,722423
AP,2021,736233
BA,1992,11303746
BA,1993,11549676
BA,1994,11722768
BA,1995,11891563
BA,1997,11861619
BA,1998,11979338
BA,1999,12097255
BA,2000,12215598
BA,2001,12280822
BA,2002,12369765
BA,2003,12461662
BA,2004,12665081
BA,2005,12774518
BA,2006,12886234
BA,2007,12987201
BA,2008,13365516
BA,2009,13477907
BA,2010,12882403
BA,2011,12940743
BA,2012,13001469
BA,2013,13785327
BA,2014,13850401
BA,2015,13911789
BA,2016,13968601
BA,2017,14022304
BA,2018,13519555
BA,2019,13564830
BA,2020,13607903
BA,2021,13648791
CE,1992,5724417
CE,1993,5813000
CE,1994,5876211
CE,1995,5937778
CE,1997,6114515
CE,1998,6189212
CE,1999,6264138
CE,2000,6339333
CE,2001,6637937
CE,2002,6720903
CE,2003,6805377
CE,2004,6982704
CE,2005,7080843
CE,2006,7178245
CE,2007,7150656
CE,2008,7378007
CE,2009,7457671
CE,2010,7341333
CE,2011,7406892
CE,2012,7467288
CE,2013,7612011
CE,2014,7662767
CE,2015,7711514
CE,2016,7758311
CE,2017,7803209
CE,2018,7853278
CE,2019,7907763
CE,2020,7951490
CE,2021,7993980
DF,1992,1639035
DF,1993,1673151
DF,1994,1705889
DF,1995,1737813
DF,1997,1877015
DF,1998,1923406
DF,1999,1969868
DF,2000,2016497
DF,2001,2097447
DF,2002,2145839
DF,2003,2189789
DF,2004,2282049
DF,2005,2333108
DF,2006,2383784
DF,2007,2455903
DF,2008,2557158
DF,2009,2606885
DF,2010,2562963
DF,2011,2609998
DF,2012,2648532
DF,2013,2789761
DF,2014,2852372
DF,2015,2914830
DF,2016,2977216
DF,2017,3039444
DF,2018,2974703
DF,2019,3015268
DF,2020,3055149
DF,2021,3094325
ES,1992,1788246
ES,1993,1811450
ES,1994,1832563
ES,1995,1853151
ES,1997,1881899
ES,1998,1900149
ES,1999,1918431
ES,2000,1936777
ES,2001,2051261
ES,2002,2077512
ES,2003,2102249
ES,2004,2154178
ES,2005,2182916
ES,2006,2211441
ES,2007,2123874
ES,2008,2194698
ES,2009,2210262
ES,2010,2242817
ES,2011,2262202
ES,2012,2278609
ES,2013,2430289
ES,2014,2455080
ES,2015,2479426
ES,2016,2503187
ES,2017,2526334
ES,2018,2486502
ES,2019,2510809
ES,2020,2534664
ES,2021,2558023
GO,1992,3367271
GO,1993,3412348
GO,1994,3454675
GO,1995,3495957
GO,1997,3560998
GO,1998,3604150
GO,1999,3648028
GO,2000,3692056
GO,2001,3791611
GO,2002,3835026
GO,2003,3877003
GO,2004,3965108
GO,2005,4013867
GO,2006,4062265
GO,2007,4070197
GO,2008,4194366
GO,2009,4236856
GO,2010,4337354
GO,2011,4382755
GO,2012,4426836
GO,2013,4614102
GO,2014,4667721
GO,2015,4720214
GO,2016,4771440
GO,2017,4827263
GO,2018,4896437
GO,2019,4953378
GO,2020,5009153
GO,2021,5063655
MA,1992,4676625
MA,1993,4765133
MA,1994,4830202
MA,1995,4893656
MA,1997,4896433
MA,1998,4947210
MA,1999,5000152
MA,2000,5053282
MA,2001,5274379
MA,2002,5336761
MA,2003,5396818
MA,2004,5522895
MA,2005,5592669
MA,2006,5661921
MA,2007,5592784
MA,2008,5762301
MA,2009,5813347
MA,2010,5989024
MA,2011,6056080
MA,2012,6115691
MA,2013,6185247
MA,2014,6233127
MA,2015,6279257
MA,2016,6322303
MA,2017,6362180
MA,2018,6397977
MA,2019,6432796
MA,2020,6466995
MA,2021,6500544
MG,1992,13979009
MG,1993,14133469
MG,1994,14271172
MG,1995,14405459
MG,1997,14554799
MG,1998,14685304
MG,1999,14816239
MG,2000,14947647
MG,2001,15435109
MG,2002,15591221
MG,2003,15735907
MG,2004,16039639
MG,2005,16207733
MG,2006,16374559
MG,2007,16229823
MG,2008,16703006
MG,2009,16834412
MG,2010,16542524
MG,2011,16641955
MG,2012,16735684
MG,2013,17343496
MG,2014,17449597
MG,2015,17551338
MG,2016,17648141
MG,2017,17751976
MG,2018,17653847
MG,2019,17748684
MG,2020,17839561
MG,2021,17927032
MS,1992,1775940
MS,1993,1807119
MS,1994,1837937
MS,1995,1867991
MS,1997,1919949
MS,1998,1950371
MS,1999,1980839
MS,2000,2011418
MS,2001,2061258
MS,2002,2090074
MS,2003,2118375
MS,2004,2177786
MS,2005,2210666
MS,2006,2243298
MS,2007,2215335
MS,2008,2284070
MS,2009,2308239
MS,2010,2395474
MS,2011,2423345
MS,2012,2450527
MS,2013,2531342
MS,2014,2563316
MS,2015,2594491
MS,2016,2625243
MS,2017,2655612
MS,2018,2689959
MS,2019,2720625
MS,2020,2750644
MS,2021,2780058
MT,1992,1922010
MT,1993,1985861
MT,1994,2047923
MT,1995,2108443
MT,1997,2069656
MT,1998,2106797
MT,1999,2144022
MT,2000,2181353
MT,2001,2324494
MT,2002,2364065
MT,2003,2405596
MT,2004,2492785
MT,2005,2541035
MT,2006,2588925
MT,2007,2609104
MT,2008,2704086
MT,2009,2745819
MT,2010,2765275
MT,2011,2804381
MT,2012,2840909
MT,2013,2902828
MT,2014,2942068
MT,2015,2980272
MT,2016,3017469
MT,2017,3053708
MT,2018,3142681
MT,2019,3182068
MT,2020,3221157
MT,2021,3259198
PA,1992,5125447
PA,1993,5005335
PA,1994,4946313
PA,1995,5054003
PA,1997,5146475
PA,1998,5239267
PA,1999,5332204
PA,2000,5425472
PA,2001,5754167
PA,2002,5848481
PA,2003,5950045
PA,2004,6180439
PA,2005,6281244
PA,2006,6398354
PA,2007,6404169
PA,2008,6613608
PA,2009,6734937
PA,2010,6894390
PA,2011,6984669
PA,2012,7108540
PA,2013,7269193
PA,2014,7364449
PA,2015,7456891
PA,2016,7546064
PA,2017,7598423
PA,2018,7732036
PA,2019,7812954
PA,2020,7892524
PA,2021,7970737
PB,1992,2823959
PB,1993,2862149
PB,1994,2890410
PB,1995,2917973
PB,1997,2894725
PB,1998,2911633
PB,1999,2928561
PB,2000,2945559
PB,2001,2997685
PB,2002,3018276
PB,2003,3036016
PB,2004,3073249
PB,2005,3093856
PB,2006,3114307
PB,2007,3145731
PB,2008,3233217
PB,2009,3256352
PB,2010,3250446
PB,2011,3271063
PB,2012,3290977
PB,2013,3376071
PB,2014,3401818
PB,2015,3425260
PB,2016,3448398
PB,2017,3470624
PB,2018,3445930
PB,2019,3464260
PB,2020,3482208
PB,2021,3499707
PE,1992,5454041
PE,1993,5514691
PE,1994,5557505
PE,1995,5599258
PE,1997,5605609
PE,1998,5636378
PE,1999,5667162
PE,2000,5698059
PE,2001,5964474
PE,2002,6013391
PE,2003,6061227
PE,2004,6161651
PE,2005,6217225
PE,2006,6272389
PE,2007,6264900
PE,2008,6451776
PE,2009,6501671
PE,2010,6540517
PE,2011,6588929
PE,2012,6636575
PE,2013,6839755
PE,2014,6889139
PE,2015,6937406
PE,2016,6984038
PE,2017,7035875
PE,2018,7053061
PE,2019,7096578
PE,2020,7139218
PE,2021,7180868
PI,1992,2590540
PI,1993,2637182
PI,1994,2671146
PI,1995,2704265
PI,1997,2667196
PI,1998,2686219
PI,1999,2704532
PI,2000,2723666
PI,2001,2841062
PI,2002,2866026
PI,2003,2891250
PI,2004,2944201
PI,2005,2973505
PI,2006,3002590
PI,2007,2999621
PI,2008,3085227
PI,2009,3110547
PI,2010,3084498
PI,2011,3105971
PI,2012,3126236
PI,2013,3149401
PI,2014,3159874
PI,2015,3168920
PI,2016,3177009
PI,2017,3197282
PI,2018,3242261
PI,2019,3250879
PI,2020,3259057
PI,2021,3266795
PR,1992,7441280
PR,1993,7493472
PR,1994,7536927
PR,1995,7579290
PR,1997,7783058
PR,1998,7857847
PR,1999,7932758
PR,2000,8007938
PR,2001,8107098
PR,2002,8168916
PR,2003,8232213
PR,2004,8365589
PR,2005,8439139
PR,2006,8512134
PR,2007,8538940
PR,2008,8772342
PR,2009,8840515
PR,2010,8622822
PR,2011,8673239
PR,2012,8717375
PR,2013,9049915
PR,2014,9108825
PR,2015,9165712
PR,2016,9221459
PR,2017,9274247
PR,2018,9264646
PR,2019,9321682
PR,2020,9377291
PR,2021,9431396
RJ,1992,8002120
RJ,1993,8076995
RJ,1994,8137014
RJ,1995,8195541
RJ,1997,8226822
RJ,1998,8276149
RJ,1999,8325600
RJ,2000,8375234
RJ,2001,8777893
RJ,2002,8853080
RJ,2003,8926768
RJ,2004,9081464
RJ,2005,9167073
RJ,2006,9252047
RJ,2007,9178744
RJ,2008,9400206
RJ,2009,9464376
RJ,2010,9587747
RJ,2011,9653174
RJ,2012,9719280
RJ,2013,9795937
RJ,2014,9846033
RJ,2015,9894416
RJ,2016,9941158
RJ,2017,9987070
RJ,2018,10249180
RJ,2019,10307918
RJ,2020,10364165
RJ,2021,10418144
RN,1992,2247959
RN,1993,2297310
RN,1994,2332994
RN,1995,2367790
RN,1997,2353192
RN,1998,2376462
RN,1999,2399770
RN,2000,2423160
RN,2001,2503981
RN,2002,2531974
RN,2003,2556777
RN,2004,2608516
RN,2005,2637328
RN,2006,2665922
RN,2007,2645322
RN,2008,2725786
RN,2009,2748799
RN,2010,2750559
RN,2011,2772022
RN,2012,2792733
RN,2013,2911715
RN,2014,2936149
RN,2015,2959956
RN,2016,2983168
RN,2017,3005800
RN,2018,2977831
RN,2019,2997031
RN,2020,3015867
RN,2021,3034303
RO,1992,1183028
RO,1993,1233652
RO,1994,1282869
RO,1995,1330865
RO,1997,1243947
RO,1998,1263711
RO,1999,1283588
RO,2000,1303538
RO,2001,1394070
RO,2002,1417463
RO,2003,1441033
RO,2004,1544747
RO,2005,1517894
RO,2006,1545071
RO,2007,1437020
RO,2008,1476419
RO,2009,1486381
RO,2010,1540719
RO,2011,1556163
RO,2012,1569224
RO,2013,1705241
RO,2014,1724958
RO,2015,1744049
RO,2016,1762560
RO,2017,1780522
RO,2018,1731606
RO,2019,1750532
RO,2020,1769072
RO,2021,1787210
RR,1992,228749
RR,1993,241099
RR,1994,251783
RR,1995,262201
RR,1997,254499
RR,1998,260705
RR,1999,266922
RR,2000,273160
RR,2001,337237
RR,2002,346871
RR,2003,357302
RR,2004,381896
RR,2005,391317
RR,2006,403344
RR,2007,395725
RR,2008,412783
RR,2009,421499
RR,2010,451227
RR,2011,460165
RR,2012,469524
RR,2013,488072
RR,2014,496936
RR,2015,505665
RR,2016,514229
RR,2017,522636
RR,2018,576568
RR,2019,605761
RR,2020,631181
RR,2021,652713
RS,1992,7010677
RS,1993,7079244
RS,1994,7138394
RS,1995,7186119
RS,1997,7274058
RS,1998,7333375
RS,1999,7391921
RS,2000,7450677
RS,2001,7573505
RS,2002,7631387
RS,2003,7688370
RS,2004,7807978
RS,2005,7874177
RS,2006,7939872
RS,2007,7686647
RS,2008,7874811
RS,2009,7905428
RS,2010,7769581
RS,2011,7788656
RS,2012,7807948
RS,2013,8089065
RS,2014,8115038
RS,2015,8138729
RS,2016,8161159
RS,2017,8184902
RS,2018,8149382
RS,2019,8174306
RS,2020,8198224
RS,2021,8221170
SC,1992,3714238
SC,1993,3776599
SC,1994,3830052
SC,1995,3881641
SC,1997,3911785
SC,1998,3959819
SC,1999,4007670
SC,2000,4055695
SC,2001,4241908
SC,2002,4294204
SC,2003,4346608
SC,2004,4456609
SC,2005,4517485
SC,2006,4577907
SC,2007,4516942
SC,2008,4649722
SC,2009,4693846
SC,2010,4763568
SC,2011,4807367
SC,2012,4870708
SC,2013,5045118
SC,2014,5105250
SC,2015,5164831
SC,2016,5223972
SC,2017,5282625
SC,2018,5327818
SC,2019,5385224
SC,2020,5441620
SC,2021,5496882
SE,1992,1298914
SE,1993,1325945
SE,1994,1346114
SE,1995,1365786
SE,1997,1374810
SE,1998,1390901
SE,1999,1407079
SE,2000,1423319
SE,2001,1494190
SE,2002,1512950
SE,2003,1531621
SE,2004,1570811
SE,2005,1592502
SE,2006,1614027
SE,2007,1594792
SE,2008,1643964
SE,2009,1660098
SE,2010,1691286
SE,2011,1708112
SE,2012,1724339
SE,2013,1792221
SE,2014,1810674
SE,2015,1828711
SE,2016,1846342
SE,2017,1863584
SE,2018,1854906
SE,2019,1870525
SE,2020,1885992
SE,2021,1901097
SP,1992,22810854
SP,1993,23159574
SP,1994,23461082
SP,1995,23755429
SP,1997,23989307
SP,1998,24248447
SP,1999,24507977
SP,2000,24768420
SP,2001,25691184
SP,2002,25990712
SP,2003,26273789
SP,2004,26867998
SP,2005,27196879
SP,2006,27523284
SP,2007,26796310
SP,2008,27465884
SP,2009,27655702
SP,2010,27860790
SP,2011,28060675
SP,2012,28245101
SP,2013,29396243
SP,2014,29617079
SP,2015,29831703
SP,2016,30041599
SP,2017,30246716
SP,2018,30490169
SP,2019,30715436
SP,2020,30934880
SP,2021,31148336
TO,1992,920254
TO,1993,943675
TO,1994,963982
TO,1995,980075
TO,1997,1051055
TO,1998,1078219
TO,1999,1105427
TO,2000,1132732
TO,2001,1151693
TO,2002,1174036
TO,2003,1196898
TO,2004,1228927
TO,2005,1271438
TO,2006,1297796
TO,2007,1210211
TO,2008,1246115
TO,2009,1257474
TO,2010,1346369
TO,2011,1363283
TO,2012,1379719
TO,2013,1438691
TO,2014,1456999
TO,2015,1474848
TO,2016,1492239
TO,2017,1509155
TO,2018,1514149
TO,2019,1531407
TO,2020,1548415
TO,2021,1565162
